"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MAP7D1",828.268986076616,0.793692180932734,0.0996813831062378,8.79109067713711e-17,1.84974890306585e-14
"SREK1",224.107959300625,-0.535777223685121,0.0657851651373287,1.07238222771804e-16,2.2301809468299e-14
"SENP7",186.984990548902,-0.615332357016377,0.0765624169068774,1.68531628542999e-16,3.46458411090982e-14
"ARHGDIA",809.697650644859,0.707081907288919,0.0891474490882197,2.19030068712409e-16,4.44528443306283e-14
"PPP6R1",1075.63511285827,0.676175669024184,0.0849826761298171,2.21207891832593e-16,4.44528443306283e-14
"TRAPPC12",533.282968516952,0.388950671709063,0.0478775984769937,2.3418604410814e-16,4.6537971098601e-14
"ARHGAP1",467.896727504267,0.468614563207741,0.0580169656119809,2.53145870954259e-16,4.94229040972242e-14
"MAN2A1",77.406734724658,-0.742558772278241,0.0942284025808894,2.54230202792543e-16,4.94229040972242e-14
"CCDC88B",921.696564195192,0.619436566817558,0.0777764072307147,2.96277365465476e-16,5.69776417349467e-14
"PPP1R12C",455.054707528178,0.621317092863605,0.0781612881846767,3.31029420746822e-16,6.29836296814565e-14
"LTN1",185.895631113665,-0.611877903249091,0.0770877280898484,3.84483886564411e-16,7.16301490750469e-14
"USP33",289.009872559822,-0.594465858778882,0.0747719532230871,3.82592855279217e-16,7.16301490750469e-14
"HSF1",236.383565387105,0.577500547350707,0.0725563042274502,3.90786856135856e-16,7.20538445565957e-14
"TM9SF3",221.258151917732,-0.51259875186562,0.0641254498639168,4.10750580922839e-16,7.49619810184182e-14
"RNF44",936.631449818316,0.535773175960766,0.0672506199516675,4.56541007343462e-16,8.24771304680587e-14
"EPN1",285.278640881497,0.812673541348018,0.105362610554598,5.29937680698504e-16,9.47793541929274e-14
"AP5M1",144.938286946806,-0.612247299680214,0.0775915403800203,5.57999693424534e-16,9.78414168323312e-14
"ZNF800",160.057548003517,-0.625532748031619,0.0793716954027613,5.56967265695654e-16,9.78414168323312e-14
"UBA6",153.413058726427,-0.608760613259757,0.0772056698727987,5.96013232437269e-16,1.03492200603306e-13
"NSA2",50.4805908965298,-0.957630409000453,0.128174701839566,6.09218428002117e-16,1.04767996007864e-13
"ABCD1",126.75522479694,0.774937478411442,0.100282796980648,6.54868404025119e-16,1.10865804377399e-13
"U2SURP",163.294200919303,-0.584033558335118,0.0740206083128158,6.57074378753384e-16,1.10865804377399e-13
"MICALL1",120.801370159595,0.716632257005733,0.0921720773822838,7.08066309157112e-16,1.18352952703504e-13
"ADRM1",158.898061347278,0.645083172044661,0.0823887824277093,7.43096994942294e-16,1.2305823846799e-13
"GLIPR1",527.646836900906,-0.615324310035358,0.0784810601935991,8.1743068243738e-16,1.34126126196262e-13
"NFKBIB",82.3816029089261,0.627747417891133,0.0801993248109218,8.42209696393057e-16,1.36935640181726e-13
"LMBRD1",167.440711877106,-0.667565885585141,0.0856627223240247,8.60831233340831e-16,1.38702401876583e-13
"CNOT3",324.930408825093,0.487744130602405,0.0616480851178117,8.90667888798903e-16,1.42228528492575e-13
"ZNF731P",74.8507883675098,-0.748534375796876,0.0971206668975837,9.45929454894052e-16,1.49716356644072e-13
"FHOD1",206.19060570521,0.527470854463891,0.0670819357115781,1.09264937976013e-15,1.71421352254473e-13
"HBS1L",87.6249383710169,-0.596323271112487,0.0762972607335969,1.10835104658881e-15,1.72372682332529e-13
"VPS51",385.277181939321,0.651096495645619,0.0838573320590783,1.1984410495625e-15,1.84776880788149e-13
"OPA1",199.127626622008,-0.470407955612812,0.0596998847309276,1.24294426963025e-15,1.90000497968692e-13
"GGA3",334.359676086239,0.414628278856541,0.0524557595847744,1.27256839677846e-15,1.92880387935447e-13
"WDR24",98.2398902213714,0.755696738937049,0.0988253249271719,1.4275560768424e-15,2.14553280960725e-13
"ZNF335",292.191198448937,0.515487099473219,0.0660614619947645,1.86285981000455e-15,2.7546157320213e-13
"ZNF598",118.770603808007,0.734012943606394,0.0961519818467463,1.86362037223694e-15,2.7546157320213e-13
"NPIPB7",61.9030339924291,0.926844406470929,0.125844896455434,2.0814569329511e-15,3.05138174146151e-13
"ATP8A1",283.980786881922,-0.47711409472967,0.0611286402787676,2.18353168033065e-15,3.17499708152144e-13
"LMBRD2",73.315988319199,-0.648962656378437,0.0844179938068474,2.21410694711247e-15,3.19349215718601e-13
"PTBP1",541.848108531269,0.497349525845512,0.0638435425884979,2.24626003881211e-15,3.21394886353237e-13
"HDAC7",722.943418983924,0.553135066045108,0.0714180267235735,2.44417517067248e-15,3.4693708672601e-13
"HGS",357.646127887235,0.532347229580772,0.0686310105500078,2.47750922869118e-15,3.48899626418439e-13
"SF3A2",235.717203642308,0.66000335031686,0.0862575190470653,2.72665326232884e-15,3.80985887474619e-13
"ZNF672",194.653307767371,0.520907717998637,0.0672495245156249,2.85057990625057e-15,3.95214121110786e-13
"PTPN23",210.713686940087,0.564083746863662,0.0732160459742673,3.17341855461061e-15,4.36589160378544e-13
"PIK3C2A",158.531495118741,-0.503517421129738,0.065056143447627,3.24736539006097e-15,4.43352137414049e-13
"STAG1",215.827743420992,-0.453870224469196,0.0585966758379251,3.84897003689876e-15,5.21506281135866e-13
"CASZ1",101.575836128681,0.675702280319039,0.0891734173167879,4.35125893648988e-15,5.85129820143771e-13
